nonce,scenario,baseline_profit,v6_profit,v8_profit,v6_quality,v8_quality,saturated,v8_charged_mwh,v8_discharged_mwh,v8_repair_count
0,BASELINE,29236.94100840674,66262.52874036541,66875.39504784434,1.266397456561752,1.2873595095782338,False,794.92221782563,1107.7260876139778,42
1,CONGESTED,10514.742487435282,65882.62783251613,67868.41335020609,5.265738595688637,5.454595861558347,False,2251.745764007924,2742.770445745319,90
2,MULTIDAY,6625.7937828671975,264490.08739935706,264490.08739935706,10.0,10.0,True,7224.533997835678,7672.004439689623,192
3,DENSE,23040.370408430237,403933.6591293572,403933.6591293572,10.0,10.0,True,7617.135243151934,7643.053480369999,192
4,CAPSTONE,29634.689750597066,694849.590160206,694849.590160206,10.0,10.0,True,16158.72972178829,15994.967036531636,192
5,BASELINE,30390.249663386,45540.60899771032,44987.97327165276,0.4985269782787885,0.4803423390553343,False,1046.2650438312767,1313.817327791939,17
6,CONGESTED,4938.391240037246,79538.1091726592,88401.12267120635,10.0,10.0,True,2807.6263902916935,3354.567747830786,94
7,MULTIDAY,3967.7718222257763,186413.5635968599,186413.5635968599,10.0,10.0,True,5705.645856862379,5759.822430101027,192
8,DENSE,15615.735007592542,411282.5579454132,411282.5579454132,10.0,10.0,True,8156.117647767291,8337.805263764789,192
9,CAPSTONE,27910.77826445484,899335.1517566293,899335.1517566293,10.0,10.0,True,12043.472419199805,12157.82422842014,192
10,BASELINE,22637.523882020487,53831.450241248844,54494.540471722496,1.377974310283365,1.407265951626304,False,972.9562862747704,1270.118099797734,49
11,CONGESTED,1.6920585948047827e-12,95296.46213200664,108552.02948029575,10.0,10.0,True,2635.105556046823,3113.028445735103,96
12,MULTIDAY,15684.50133929123,276659.4781038013,276659.4781038013,10.0,10.0,True,6889.254381371208,7724.027536069976,192
13,DENSE,22309.35378566021,456884.34447394137,456884.34447394137,10.0,10.0,True,7618.417415028182,8177.464941959301,192
14,CAPSTONE,36923.02300503166,774977.0992568302,774977.0992568302,10.0,10.0,True,11782.922713706319,11694.858454840934,192
15,BASELINE,2131.482402587612,42143.23875889885,42657.47481081072,10.0,10.0,True,1072.4712980470872,1354.7066738199662,58
16,CONGESTED,559.0736649721573,87844.70426746043,90215.68231492472,10.0,10.0,True,2667.542357467736,3198.587706523202,83
17,MULTIDAY,13701.425302028736,221977.73009423199,221977.73009423199,10.0,10.0,True,5770.80382480736,5840.645085598916,192
18,DENSE,28215.82281646492,370631.0952176055,370631.0952176055,10.0,10.0,True,8413.134877828552,8520.183811004297,192
19,CAPSTONE,20895.51601888233,742898.9002022031,742898.9002022031,10.0,10.0,True,16475.938113667667,16512.460107179013,192
20,BASELINE,11564.201803684049,34268.709461725506,34651.05426106445,1.9633441236597113,1.9964069156964324,False,1064.034839671379,1318.8074178060183,57
21,CONGESTED,3439.2725253480166,64742.738677407004,69447.25028746326,10.0,10.0,True,3181.1556520383606,3538.0971586270557,96
22,MULTIDAY,8260.375235173868,247626.1298681902,247626.1298681902,10.0,10.0,True,5905.307813586049,5730.0740649822255,192
23,DENSE,11993.225976391599,344447.9999081454,344447.9999081454,10.0,10.0,True,9507.205685264642,9655.650265770251,192
24,CAPSTONE,34675.73103170672,690895.693967648,690895.693967648,10.0,10.0,True,12532.551547248884,12772.493476895505,192
25,BASELINE,19396.254323025325,39646.746961711804,40024.71949524224,1.0440414061596957,1.0635282888957227,False,871.9519407350264,1159.9489494229788,42
26,CONGESTED,1334.1769609593007,80232.18874702089,80617.29947187036,10.0,10.0,True,2403.851907783387,2944.1117799459334,80
27,MULTIDAY,28291.402173837945,252960.25376051548,252960.25376051548,7.941241307102675,7.941241307102675,False,6902.674542296813,7257.726140317868,192
28,DENSE,8229.01462124445,473368.70714065194,473368.70714065194,10.0,10.0,True,9146.10535437424,9423.388744172875,192
29,CAPSTONE,40200.403120448,1164559.1410303437,1164559.1410303437,10.0,10.0,True,16497.521792591593,17074.87763693568,192
30,BASELINE,36169.66231269726,52386.5006782378,52798.534560174936,0.4483547074587783,0.45974640579324416,False,916.542560697525,1204.1996557617279,44
31,CONGESTED,7211.369548567652,91775.17466815401,97229.67298526614,10.0,10.0,True,2850.9223833459014,3397.9641413553613,88
32,MULTIDAY,6459.97670825694,127860.18373134389,127860.18373134389,10.0,10.0,True,5092.870521217354,4923.266524728864,192
33,DENSE,25164.379028701853,475263.29374794464,475263.29374794464,10.0,10.0,True,10839.161620138075,11317.310840040229,192
34,CAPSTONE,27081.045186756546,664053.7450151623,664053.7450151623,10.0,10.0,True,12752.516775265805,12527.85273796502,192
35,BASELINE,25507.077977130586,43442.647890650456,42054.53220161563,0.7031605081890437,0.6487397042763032,False,734.731738152831,1043.6431048081677,23
36,CONGESTED,23253.82686107543,76862.35356114387,80364.42579962313,2.3053636297386544,2.4559656041685396,False,2432.876311941648,2994.8137588452387,86
37,MULTIDAY,38710.40497013715,250557.06752953937,250557.06752953937,5.4726025914055185,5.4726025914055185,False,7030.543685505355,7148.297780241374,192
38,DENSE,35730.15769191865,489069.62230018695,489069.62230018695,10.0,10.0,True,9996.03889264729,10445.869198025195,192
39,CAPSTONE,29858.055486574805,614182.639324089,614182.639324089,10.0,10.0,True,13134.416957415922,12160.170311485504,192
40,BASELINE,24393.80518731453,52630.49995217949,53040.9302274936,1.1575354704558887,1.1743606550527845,False,1038.5015577569907,1320.891421959567,55
41,CONGESTED,11447.504579434433,88713.16719395663,93730.72765073729,6.7495638085684835,7.1878742212462345,False,2531.0839125141933,3084.857609859056,79
