scenario,nonce,baseline_profit,v6_profit,v6_quality,oracle1_profit,oracle1_status,oracle1_time,oracle1_degcheck,oracle3_profit,oracle3_status,oracle3_time,oracle2_profit,oracle2_status,oracle2_time,oracle2_replay_profit,oracle2_bound_violation,oracle2_flow_violation,oracle2_replay_error,oracle2_max_clip,oracle2_quality
BASELINE,0,29236.94100840674,66262.52874036541,1.266397456561752,76344.59320535771,optimal,0.11196398735046387,76342.52975953008,77223.87857999105,optimal,0.12099957466125488,70067.28794828888,optimal,0.3986544609069824,70065.67882614187,False,False,,2.8066438062523957e-13,1.3965327948209536
BASELINE,5,30390.249663386,45540.60899771032,0.4985269782787885,52675.338213205025,optimal,0.12200164794921875,52673.23233854528,53542.18432528096,optimal,0.14100193977355957,52276.42080486347,optimal,0.38799548149108887,52274.405821058186,False,False,,2.0605739337042905e-13,0.7201708239707433
BASELINE,10,22637.523882020487,53831.450241248844,1.377974310283365,63721.5477015531,optimal,0.12004685401916504,63719.53772206498,64600.285946577336,optimal,0.12296438217163086,58527.85620575451,optimal,0.4021165370941162,58526.24833747306,False,False,,3.6504133049675147e-13,1.5854354261180457
BASELINE,15,2131.482402587612,42143.23875889885,10.0,53335.96096265235,optimal,0.11503338813781738,53334.0176752679,54168.00471985208,optimal,0.1179656982421875,47217.665703956,optimal,0.3980374336242676,47216.156010726285,False,False,,1.9539925233402755e-13,10.0
BASELINE,20,11564.201803684049,34268.709461725506,1.9633441236597113,42296.73767611195,optimal,0.11500287055969238,42294.7583509718,43089.15093703229,optimal,0.11699795722961426,38840.90759404844,optimal,0.40176892280578613,38839.40207029783,False,False,,2.8066438062523957e-13,2.3587192830996804
BASELINE,25,19396.254323025325,39646.746961711804,1.0440414061596957,45282.330108348775,optimal,0.12096619606018066,45280.80993946878,45938.321998629974,optimal,0.10803437232971191,42678.303080848505,optimal,0.38499903678894043,42676.95461527916,False,False,,2.815525590449397e-13,1.2003373625073932
BASELINE,30,36169.66231269726,52386.5006782378,0.4483547074587783,61017.24769173861,optimal,0.11301255226135254,61015.28186017693,61836.31100454761,optimal,0.10202431678771973,56739.77543778959,optimal,0.3929626941680908,56738.198094568725,False,False,,1.0658141036401503e-13,0.5687117824515197
BASELINE,35,25507.077977130586,43442.647890650456,0.7031605081890437,47212.87083850422,optimal,0.11303877830505371,47211.087425587444,47967.15218557735,optimal,0.09699845314025879,46407.098638678246,optimal,0.37659525871276855,46405.473064299156,False,False,,1.8829382497642655e-13,0.8193812195762701
BASELINE,40,24393.80518731453,52630.49995217949,1.1575354704558887,62822.37914023361,optimal,0.11299991607666016,62820.256475028466,63720.85004379399,optimal,0.0980374813079834,57394.39097138085,optimal,0.38399624824523926,57392.86529801415,False,False,,2.3092638912203256e-13,1.352826487270413
BASELINE,45,35094.13088112693,50564.81766933321,0.4408340198014519,63006.07610940699,optimal,0.11003351211547852,63004.11442142307,63799.568104700236,optimal,0.10100030899047852,55808.29880462727,optimal,0.39096546173095703,55806.76616081896,False,False,,3.801403636316536e-13,0.5902459300979542
BASELINE,50,14743.10727779479,37982.53736848937,1.5762911882300528,45945.72326724953,optimal,0.1100013256072998,45943.51050056666,46921.597137870274,optimal,0.11896181106567383,40186.50733239833,optimal,0.5239098072052002,40184.902166622494,False,False,,4.476419235288631e-13,1.7257827385682205
BASELINE,55,25728.16953750662,44502.07242149184,0.7297022376926914,54003.07666851579,optimal,0.09900188446044922,54001.030163231386,54887.740556206016,optimal,0.0989983081817627,50084.47621900987,optimal,0.4609663486480713,50082.857168592054,False,False,,3.601563491884008e-13,0.9466785674375264
