scenario,nonce,baseline_profit,current_policy_profit,current_quality,solve_time,solver_status,oracle_profit,oracle_quality,replay_profit,replay_bound_violation,replay_flow_violation,replay_max_clip,primal_ub_residual,primal_eq_residual,soc_residual,soc_bound_violation,objective_replay_discrepancy,current_to_oracle_gap,n_vars,n_eq,n_ub
BASELINE,0,18470.30233528574,37032.646826783646,1.004983,0.15942025184631348,optimal,38385.01029490056,1.078201514898404,38383.549799810775,False,False,1.0302869668521453e-13,7.105427357601002e-15,1.4210854715202004e-14,2.842170943040401e-14,0.0,1.460495089784672,0.07321851489840414,2880,960,5760
CONGESTED,1,41057.013504291994,157768.08950327692,2.842659,0.6695899963378906,optimal,169400.70004001574,3.1259869040202117,169396.8454675528,False,False,2.8066438062523957e-13,2.842170943040401e-14,4.618527782440651e-14,7.815970093361102e-14,0.0,3.8545724629366305,0.2833279040202119,5760,1920,11520
MULTIDAY,2,10053.530318524508,366165.29868730804,10.0,13.209532499313354,optimal,407844.50030177925,10.0,407829.5897649834,False,False,1.4317436125566019e-12,4.645173135031655e-13,3.943512183468556e-13,7.212008767965017e-13,0.0,14.910536795854568,0.0,23040,7680,46080
DENSE,3,34208.64974731878,316509.7133751583,8.25233,41.324931383132935,optimal,376946.78086079366,10.0,376924.2256376681,False,False,2.177724667262737e-11,6.508571459562518e-12,5.326583618625591e-11,6.259881502046483e-11,0.0,22.55522312555695,1.7476699999999994,34560,11520,76800
CAPSTONE,4,49748.415961310595,933272.7799767394,10.0,172.33184027671814,optimal,1619653.7025366684,10.0,1619617.159642188,False,False,2.2644925934400817e-09,7.065459328714496e-11,5.95878901776814e-10,5.958362692126684e-10,0.0,36.5428944802843,0.0,57600,19200,115200
BASELINE,5,6717.0546462141565,40741.46756170753,5.065377,0.18346071243286133,optimal,44313.162511963346,5.597112103493436,44311.720472530156,False,False,2.3092638912203256e-13,2.842170943040401e-14,1.7763568394002505e-14,7.105427357601002e-14,0.0,1.4420394331900752,0.5317351034934363,2880,960,5760
CONGESTED,6,11618.514735215234,94014.23921317887,7.091761,0.83837890625,optimal,105462.75955722103,8.077129215965158,105459.46453726273,False,False,4.725109192804666e-13,1.5187850976872141e-13,1.1901590823981678e-13,9.947598300641403e-14,0.0,3.2950199582992354,0.985368215965158,5760,1920,11520
MULTIDAY,7,29096.135322313865,311787.64345495007,9.715775,14.67856502532959,optimal,352784.94258157635,10.0,352770.2631137147,False,False,3.4727776210274897e-12,1.0942358130705543e-12,1.2647660696529783e-12,1.893596390800667e-12,0.0,14.67946786165703,0.2842249999999993,23040,7680,46080
DENSE,8,7624.15934906227,538410.9183753663,10.0,43.429601430892944,optimal,580444.1396974907,10.0,580418.9923629737,False,False,7.47249373489467e-09,2.1536550320888637e-11,1.7747510128174326e-09,1.7747225911080022e-09,0.0,25.147334516979754,0.0,34560,11520,76800
CAPSTONE,9,39952.63618573846,611763.7949027164,10.0,182.64585614204407,optimal,1097458.6543693957,10.0,1097418.5117936311,False,False,1.6291696880443851e-09,8.908784820960136e-10,2.335539761588734e-09,2.3355113398793037e-09,0.0,40.142575764562935,0.0,57600,19200,115200
BASELINE,10,39906.54920140796,56441.846329435575,0.41435,0.1960315704345703,optimal,59668.3069760943,0.49520086726751916,59666.70354693062,False,False,3.268496584496461e-13,1.4210854715202004e-14,1.4210854715202004e-14,8.704148513061227e-14,0.0,1.6034291636824491,0.08085086726751917,2880,960,5760
CONGESTED,11,58657.47074832574,132473.600228155,1.258427,1.3093531131744385,optimal,142813.45744727377,1.4347019335114344,142810.26750096548,False,False,2.4868995751603507e-13,1.438849039914203e-13,2.842170943040401e-14,7.638334409421077e-14,0.0,3.1899463082954753,0.17627493351143442,5760,1920,11520
MULTIDAY,12,19553.99676966946,313192.7108481925,10.0,14.26283049583435,optimal,347643.3202584694,10.0,347627.901152787,False,False,2.1458390619955026e-12,1.0871303857129533e-12,5.258016244624741e-13,5.755396159656812e-13,0.0,15.419105682405643,0.0,23040,7680,46080
DENSE,13,31664.549759216046,764819.1074381334,10.0,47.118523836135864,optimal,846346.8054878205,10.0,846322.5060611469,False,False,4.9254822442890145e-11,7.407408020299044e-13,1.2953194072906626e-11,1.7628565274208086e-11,0.0,24.29942667367868,0.0,34560,11520,76800
CAPSTONE,14,19815.54456964734,683748.1250620873,10.0,201.52467107772827,optimal,1258038.160195578,10.0,1258003.0684656678,False,False,4.29518820510566e-09,1.8806645130098332e-10,1.1425882462390291e-09,1.1425242973928107e-09,0.0,35.09172991011292,0.0,57600,19200,115200
BASELINE,15,34830.360706967294,47867.84757399641,0.374314,0.15497398376464844,optimal,49504.55041430611,0.42130455754890184,49503.01838312854,False,False,7.105427357601002e-14,2.6645352591003757e-14,7.105427357601002e-15,2.6645352591003757e-14,0.0,1.5320311775722075,0.04699055754890186,2880,960,5760
CONGESTED,16,23186.278464472834,75473.52739389798,2.255094,0.7033529281616211,optimal,79612.04515413633,2.4335844483921067,79608.66717784083,False,False,2.984279490192421e-13,7.105427357601002e-14,2.842170943040401e-14,8.881784197001252e-14,0.0,3.377976295494591,0.1784904483921066,5760,1920,11520
MULTIDAY,17,36956.38195906096,394837.538552099,9.68388,16.199135541915894,optimal,440691.56154524395,10.0,440675.9887445501,False,False,4.646949491871055e-12,5.400124791776761e-13,1.2647660696529783e-12,1.4566126083082054e-12,0.0,15.57280069385888,0.31611999999999973,23040,7680,46080
