total tasks: 1400, already done: 0, remaining: 1400
  50/1400 done  (129s elapsed, ETA 3485s, errors=0)
  100/1400 done  (264s elapsed, ETA 3430s, errors=0)
  150/1400 done  (397s elapsed, ETA 3308s, errors=0)
  200/1400 done  (528s elapsed, ETA 3170s, errors=0)
  250/1400 done  (659s elapsed, ETA 3030s, errors=0)
  300/1400 done  (798s elapsed, ETA 2927s, errors=0)
  350/1400 done  (961s elapsed, ETA 2884s, errors=0)
  400/1400 done  (1110s elapsed, ETA 2775s, errors=0)
  450/1400 done  (1237s elapsed, ETA 2612s, errors=0)
  500/1400 done  (1361s elapsed, ETA 2450s, errors=0)
  550/1400 done  (1513s elapsed, ETA 2338s, errors=0)
  600/1400 done  (1674s elapsed, ETA 2232s, errors=0)
  650/1400 done  (1819s elapsed, ETA 2098s, errors=0)
  700/1400 done  (1988s elapsed, ETA 1988s, errors=0)
  750/1400 done  (2135s elapsed, ETA 1850s, errors=0)
  800/1400 done  (2277s elapsed, ETA 1708s, errors=0)
  850/1400 done  (2421s elapsed, ETA 1566s, errors=0)
  900/1400 done  (2567s elapsed, ETA 1426s, errors=0)
  950/1400 done  (2710s elapsed, ETA 1284s, errors=0)
  1000/1400 done  (2844s elapsed, ETA 1138s, errors=0)
  1050/1400 done  (2975s elapsed, ETA 992s, errors=0)
  1100/1400 done  (3100s elapsed, ETA 845s, errors=0)
  1150/1400 done  (3243s elapsed, ETA 705s, errors=0)
  1200/1400 done  (3373s elapsed, ETA 562s, errors=0)
  1250/1400 done  (3503s elapsed, ETA 420s, errors=0)
  1300/1400 done  (3736s elapsed, ETA 287s, errors=0)
