seed,scenario,nonce,baseline,O0,O1,O4,OF,OA,OT,OV
42,CONGESTED,66,34376.91327356335,1.5255019762149122,1.5255019762149122,1.61105828132232,1.8545399098947428,1.5255019762149122,1.5550932003216886,1.603198793415939
42,CONGESTED,86,36337.601502594516,1.4773267130373582,1.4773267130373582,1.528945497887106,1.8688497386767402,1.4773267130373582,1.5081829132562443,1.6966135939158613
42,CONGESTED,56,46515.28748483051,2.4393248382639943,2.4393248382639943,2.515031687717463,2.697815082507471,2.4393248382639943,2.491460623899682,2.569621529305846
42,CONGESTED,1,22351.904945304257,2.3827641033648117,2.3827641033648117,2.463019010115231,2.763923511746034,2.3827641033648117,2.4202288089228556,2.4580117567310173
42,CONGESTED,21,18073.65893432436,2.831982852414432,2.831982852414432,3.03306144679248,4.052225955175388,2.831982852414432,2.8514707965656796,3.047061074140852
42,CONGESTED,16,17123.332025461204,3.2040760169991462,3.2040760169991462,3.2606091791861203,3.516085806870435,3.2040760169991462,3.2351196602841754,3.2628480365108
42,CONGESTED,26,20907.72188293289,4.513734251805522,4.513734251805522,4.6216607261269855,5.147389547989124,4.513734251805522,4.52063251894675,4.518490735337817
42,CONGESTED,81,15074.105187583235,4.453381453657635,4.453381453657635,4.45858390439814,5.5358905134755165,4.453381453657635,4.491515277032592,4.681366039162654
42,CONGESTED,41,18859.85421049445,4.674955219847199,4.674955219847199,4.816159448296508,5.354671616651552,4.674955219847199,4.6526453613986085,4.890078488282892
42,CONGESTED,61,13922.40752739766,4.286139245364502,4.286139245364502,4.551156942986624,6.953868624507659,4.286139245364502,4.285510713451904,5.233363027501314
42,CONGESTED,51,10570.703890542552,7.43425629636017,7.43425629636017,7.551708854305301,9.154126945844524,7.43425629636017,7.495523058966548,8.064202633216828
42,CONGESTED,36,6625.978487092835,7.9132028186754955,7.9132028186754955,8.2449124520831,10.0,7.9132028186754955,7.95514520159545,7.9175802218871425
